Data collected on 04/27/2007 04:18:06 PM from an HP54600A at address 5.


Source=CHAN1,Source=CHAN1,Source=CHAN2,Source=CHAN2
Label=CHAN1,Label=CHAN1,Label=CHAN2,Label=CHAN2
Data=Horiz,Data=Vert,Data=Horiz,Data=Vert
Units=s,Units=V,Units=s,Units=V
+2.480000E-04,+2.093750E+00,+2.480000E-04,+2.687500E+00
+2.500000E-04,+2.906250E+00,+2.500000E-04,+1.875000E+00
+2.520000E-04,+3.000000E+00,+2.520000E-04,+1.562500E+00
+2.540000E-04,+3.000000E+00,+2.540000E-04,+9.375000E-01
+2.560000E-04,+3.000000E+00,+2.560000E-04,+6.875000E-01
+2.580000E-04,+3.031250E+00,+2.580000E-04,+3.375000E+00
+2.600000E-04,+8.437500E-01,+2.600000E-04,+1.875000E-01
+2.620000E-04,+2.812500E+00,+2.620000E-04,+1.875000E-01
+2.640000E-04,+2.968750E+00,+2.640000E-04,+2.500000E-01
+2.660000E-04,+3.031250E+00,+2.660000E-04,+1.250000E-01
+2.680000E-04,+3.000000E+00,+2.680000E-04,+1.250000E-01
+2.700000E-04,+3.000000E+00,+2.700000E-04,+1.250000E-01
+2.720000E-04,+0.000000E+00,+2.720000E-04,+2.500000E-01
+2.740000E-04,+2.687500E+00,+2.740000E-04,+2.500000E-01
+2.760000E-04,+2.968750E+00,+2.760000E-04,+1.875000E-01
+2.780000E-04,+3.000000E+00,+2.780000E-04,+1.875000E-01
+2.800000E-04,+3.000000E+00,+2.800000E-04,+1.875000E-01
+2.820000E-04,+3.000000E+00,+2.820000E-04,+6.250000E-02
+2.840000E-04,-1.250000E-01,+2.840000E-04,+3.187500E+00
+2.860000E-04,+2.468750E+00,+2.860000E-04,+2.437500E+00
+2.880000E-04,+2.937500E+00,+2.880000E-04,+2.125000E+00
+2.900000E-04,+3.000000E+00,+2.900000E-04,+1.562500E+00
+2.920000E-04,+3.000000E+00,+2.920000E-04,+1.000000E+00
+2.940000E-04,+3.031250E+00,+2.940000E-04,+5.625000E-01
+2.960000E-04,+3.000000E+00,+2.960000E-04,+5.625000E-01
+2.980000E-04,+1.093750E+00,+2.980000E-04,+2.500000E-01
+3.000000E-04,+2.843750E+00,+3.000000E-04,+1.875000E-01
+3.020000E-04,+3.000000E+00,+3.020000E-04,+1.875000E-01
+3.040000E-04,+3.031250E+00,+3.040000E-04,+1.875000E-01
+3.060000E-04,+3.031250E+00,+3.060000E-04,+1.875000E-01
+3.080000E-04,+3.031250E+00,+3.080000E-04,+1.250000E-01
+3.100000E-04,-3.125000E-02,+3.100000E-04,+1.875000E-01
+3.120000E-04,+2.750000E+00,+3.120000E-04,+1.875000E-01
+3.140000E-04,+3.000000E+00,+3.140000E-04,+1.875000E-01
+3.160000E-04,+3.031250E+00,+3.160000E-04,+1.250000E-01
+3.180000E-04,+2.968750E+00,+3.180000E-04,+6.250000E-02
+3.200000E-04,+3.031250E+00,+3.200000E-04,+1.250000E-01
+3.220000E-04,+0.000000E+00,+3.220000E-04,+3.375000E+00
