Data collected on 04/27/2007 04:25:32 PM from an HP54600A at address 5.


Source=CHAN1,Source=CHAN1,Source=CHAN2,Source=CHAN2
Label=CHAN1,Label=CHAN1,Label=CHAN2,Label=CHAN2
Data=Horiz,Data=Vert,Data=Horiz,Data=Vert
Units=s,Units=V,Units=s,Units=V
+1.105000E-05,+3.000000E+00,+1.110000E-05,+5.625000E-01
+1.115000E-05,+3.031250E+00,+1.120000E-05,+5.625000E-01
+1.125000E-05,+3.031250E+00,+1.130000E-05,+5.000000E-01
+1.135000E-05,+3.000000E+00,+1.140000E-05,+5.000000E-01
+1.145000E-05,+3.031250E+00,+1.150000E-05,+4.375000E-01
+1.155000E-05,+3.000000E+00,+1.160000E-05,+4.375000E-01
+1.165000E-05,+3.000000E+00,+1.170000E-05,+4.375000E-01
+1.175000E-05,+3.031250E+00,+1.180000E-05,+3.750000E-01
+1.185000E-05,+3.031250E+00,+1.190000E-05,+3.750000E-01
+1.195000E-05,+3.000000E+00,+1.200000E-05,+4.375000E-01
+1.205000E-05,+3.000000E+00,+1.210000E-05,+3.750000E-01
+1.215000E-05,+3.000000E+00,+1.220000E-05,+4.375000E-01
+1.225000E-05,+3.000000E+00,+1.230000E-05,+4.375000E-01
+1.235000E-05,+3.000000E+00,+1.240000E-05,+3.750000E-01
+1.245000E-05,+3.031250E+00,+1.250000E-05,+3.750000E-01
+1.255000E-05,+3.031250E+00,+1.260000E-05,+3.125000E-01
+1.265000E-05,+3.031250E+00,+1.270000E-05,+3.750000E-01
+1.275000E-05,+3.000000E+00,+1.280000E-05,+3.750000E-01
+1.285000E-05,+3.000000E+00,+1.290000E-05,+3.125000E-01
+1.295000E-05,+3.000000E+00,+1.300000E-05,+3.125000E-01
+1.305000E-05,+3.000000E+00,+1.310000E-05,+3.125000E-01
+1.315000E-05,+3.000000E+00,+1.320000E-05,+3.125000E-01
+1.325000E-05,+3.031250E+00,+1.330000E-05,+3.750000E-01
+1.335000E-05,+3.031250E+00,+1.340000E-05,+3.125000E-01
+1.345000E-05,+3.000000E+00,+1.350000E-05,+3.125000E-01
